id,number,title,body,agent,user_id,user,state,created_at,closed_at,merged_at,repo_id,repo_url,html_url,commit_count,additions,deletions,changed_files
3070147988,4,Improve governance demo,"## Summary
- add package stub for solving_agi_governance
- extend governance_sim with seed option and validation
- document deterministic example usage
- add basic unit test for run_sim

## Testing
- `python3 -m unittest alpha_factory_v1.tests.test_governance_sim -v`",OpenAI_Codex,24208299,MontrealAI,closed,2025-05-17 01:28:46+00:00,2025-05-17T01:32:03Z,2025-05-17T01:32:03Z,922805069.0,https://api.github.com/repos/MontrealAI/AGI-Alpha-Agent-v0,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/4,1,54.0,11.0,4.0
3070157591,5,Improve AI‑GA meta-evolution demo resiliency,"## Summary
- track best genome and fitness in `MetaEvolver`
- expose `save()`, `best_fitness` and `best_architecture`
- load latest checkpoint automatically
- update README with note on auto-resume

## Testing
- `python -m py_compile alpha_factory_v1/demos/aiga_meta_evolution/meta_evolver.py`
- `python -m py_compile alpha_factory_v1/demos/aiga_meta_evolution/agent_aiga_entrypoint.py`
- `python -m py_compile alpha_factory_v1/demos/aiga_meta_evolution/curriculum_env.py`
- `python -m py_compile alpha_factory_v1/demos/aiga_meta_evolution/*.py`",OpenAI_Codex,24208299,MontrealAI,closed,2025-05-17 01:40:25+00:00,2025-05-17T01:41:16Z,2025-05-17T01:41:16Z,922805069.0,https://api.github.com/repos/MontrealAI/AGI-Alpha-Agent-v0,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/5,1,44.0,8.0,2.0
3070164558,6,Improve finance_alpha demo safety,"## Summary
- add explicit safety disclaimer to the finance demo README
- warn about demo-only usage in deploy_alpha_factory_demo.sh
- include disclaimer in finance_alpha.ipynb first cell

## Testing
- `pytest -q` *(fails: command not found)*",OpenAI_Codex,24208299,MontrealAI,closed,2025-05-17 01:49:57+00:00,2025-05-17T01:50:31Z,2025-05-17T01:50:31Z,922805069.0,https://api.github.com/repos/MontrealAI/AGI-Alpha-Agent-v0,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/6,1,30.0,16.0,3.0
3070173533,7,Improve Macro-Sentinel usability,"## Summary
- add LIVE_FEED environment variable to docker-compose
- propagate LIVE_FEED from run_macro_demo.sh
- document LIVE_FEED config and add disclaimer
- include research-only disclaimer

## Testing
- `python -m py_compile alpha_factory_v1/demos/macro_sentinel/agent_macro_entrypoint.py alpha_factory_v1/demos/macro_sentinel/data_feeds.py alpha_factory_v1/demos/macro_sentinel/simulation_core.py`
- `python -m unittest discover alpha_factory_v1/tests` *(fails: ModuleNotFoundError: No module named 'requests')*",OpenAI_Codex,24208299,MontrealAI,closed,2025-05-17 01:58:54+00:00,2025-05-17T01:59:11Z,2025-05-17T01:59:11Z,922805069.0,https://api.github.com/repos/MontrealAI/AGI-Alpha-Agent-v0,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/7,1,16.0,2.0,4.0
3070176363,8,Fix Macro-Sentinel health check path,"## Summary
- align Macro-Sentinel health endpoint with orchestrator
- update docs/comments referring to `/__live`

## Testing
- `pytest -q` *(fails: `pytest: command not found` due to missing dependencies)*",OpenAI_Codex,24208299,MontrealAI,closed,2025-05-17 02:03:32+00:00,2025-05-17T02:03:48Z,2025-05-17T02:03:48Z,922805069.0,https://api.github.com/repos/MontrealAI/AGI-Alpha-Agent-v0,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/8,1,4.0,4.0,2.0
3070186377,9,Sanitize demo files,"## Summary
- fix invalid characters in alpha_asi_world_model demos
- clean up formatting in fitness_reward backend
- remove stray quotes from meta_agentic demo agents

## Testing
- `python -m py_compile $(git ls-files '*.py')`",OpenAI_Codex,24208299,MontrealAI,closed,2025-05-17 02:13:04+00:00,2025-05-17T02:13:30Z,2025-05-17T02:13:30Z,922805069.0,https://api.github.com/repos/MontrealAI/AGI-Alpha-Agent-v0,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/9,1,47.0,36.0,6.0
3070193752,10,Fix FinanceAgent init and orchestrator hook,"## Summary
- avoid invoking legacy AgentBase initializer in `FinanceAgent`
- expose a `run_cycle` method for orchestrator compatibility

## Testing
- `python -m py_compile alpha_factory_v1/backend/agents/finance_agent.py`
- `pytest -q` *(fails: command not found)*",OpenAI_Codex,24208299,MontrealAI,closed,2025-05-17 02:20:15+00:00,2025-05-17T02:20:31Z,2025-05-17T02:20:31Z,922805069.0,https://api.github.com/repos/MontrealAI/AGI-Alpha-Agent-v0,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/10,1,7.0,1.0,1.0
3070196291,11,Add backend README,"## Summary
- document backend services and environment variables
- show how to run orchestrator in dev mode

## Testing
- `pytest -q` *(fails: command not found)*",OpenAI_Codex,24208299,MontrealAI,closed,2025-05-17 02:23:02+00:00,2025-05-17T02:23:24Z,2025-05-17T02:23:24Z,922805069.0,https://api.github.com/repos/MontrealAI/AGI-Alpha-Agent-v0,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/11,1,42.0,0.0,1.0
3070205074,12,Clean backend imports,"## Summary
- remove unused imports across backend agents
- fix run_pytest fallback closure
- define placeholder constants in drug design agent
- adjust planner actions and trade loop
- clear lint issues across backend

## Testing
- `ruff check alpha_factory_v1/backend/a2a_client.py alpha_factory_v1/backend/agents/base.py alpha_factory_v1/backend/agents/climate_risk_agent.py alpha_factory_v1/backend/agents/cyber_threat_agent.py alpha_factory_v1/backend/agents/drug_design_agent.py alpha_factory_v1/backend/agents/energy_agent.py alpha_factory_v1/backend/agents/finance_agent.py alpha_factory_v1/backend/agents/manufacturing_agent.py alpha_factory_v1/backend/agent_factory.py`
- `python3 -m py_compile $(git ls-files '*.py')`",OpenAI_Codex,24208299,MontrealAI,closed,2025-05-17 02:32:50+00:00,2025-05-17T02:33:08Z,2025-05-17T02:33:08Z,922805069.0,https://api.github.com/repos/MontrealAI/AGI-Alpha-Agent-v0,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/12,1,26.0,28.0,9.0
3070214030,13,Fix Orchestrator API entry,"## Summary
- expose `Orchestrator` class for programmatic use
- update CLI entry point accordingly
- clean up `backend/main.py`

## Testing
- `pip install pytest` *(fails: no route to host)*",OpenAI_Codex,24208299,MontrealAI,closed,2025-05-17 02:41:50+00:00,2025-05-17T02:42:07Z,2025-05-17T02:42:07Z,922805069.0,https://api.github.com/repos/MontrealAI/AGI-Alpha-Agent-v0,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/13,1,17.0,5.0,2.0
